url,Author,Title,Date,date_clean
https://www.texastribune.org/2018/10/22/will-donald-trumps-rally-ted-cruz-motivate-republicans-or-democrats/,ABBY LIVINGSTON,Will Donald Trump's Houston rally for Ted Cruz motivate Republicans — or Democrats?,"OCT. 22, 2018",2018-10-22
https://www.texastribune.org/2018/10/17/texas-governor-greg-abbott-trump-ted-cruz-rally/,MATT ZDUN,"Greg Abbott, Dan Patrick to speak at Donald Trump's rally with Ted Cruz","OCT. 17, 2018",2018-10-17
https://www.texastribune.org/2018/10/18/donald-trumps-houston-rally-ted-cruz-moved-bigger-venue/,PATRICK SVITEK,Donald Trump's Houston rally with Ted Cruz moved to bigger venue,"OCT. 18, 2018",2018-10-18
https://www.texastribune.org/2018/10/17/analysis-beto-orourke-overcome-ted-cruz-million-vote-margin/,ROSS RAMSEY,Analysis: Can Beto O’Rourke overcome Ted Cruz’s million-vote margin?,"OCT. 17, 2018",2018-10-17
https://www.texastribune.org/2018/10/23/texas-lt-gov-dan-patrick-mike-collier-video/,ALANA ROCHA,"Though they've never met, Mike Collier and Dan Patrick virtually debate the issues for Texas Lt. Gov.","OCT. 23, 2018",2018-10-23
https://www.texastribune.org/2018/10/19/greg-abbott-going-19-city-texas-tour-campaign-other-republicans/,PATRICK SVITEK,Abbott going on 19-stop tour to campaign for other Republicans,"OCT. 19, 2018",2018-10-19
https://www.texastribune.org/2018/10/20/ted-cruz-beto-orourke-accountability-jamal-khashoggi-death/,PATRICK SVITEK,"Sen. Ted Cruz, Rep. Beto O'Rourke press for accountability in Jamal Khashoggi's death","OCT. 20, 2018",2018-10-20
https://www.texastribune.org/2018/10/22/donald-trump-rally-texas-ted-cruz-supporters-line-up/,EMMA PLATOFF,What Donald Trump’s supporters said at his Texas rally for Ted Cruz,"OCT. 22, 2018",2018-10-22
https://www.texastribune.org/2018/10/21/donald-trump-stumps-ted-cruz-texas-former-enemies-are-now-allies/,THE WASHINGTON POST,"The ‘sniveling coward’ and the ‘maniac’ are now allies, as Trump stumps for Cruz","OCT. 21, 2018",2018-10-21
https://www.texastribune.org/2018/10/18/beto-orourke-ted-cruz-lyin-ted/,PATRICK SVITEK,"O'Rourke says he may have gone ""a step too far"" using Donald Trump's ""Lyin' Ted"" nickname for Cruz","OCT. 18, 2018",2018-10-18
https://www.texastribune.org/2018/10/19/texas-2018-john-carter-mj-hegar-virtual-debate/,ALANA ROCHA,"Congressional rivals John Carter and MJ Hegar talk immigration, veterans and tattoos","OCT. 19, 2018",2018-10-19
https://www.texastribune.org/2018/10/17/beto-orourke-attack-ads-against-ted-cruz-start-air-texas/,PATRICK SVITEK,"Beto O’Rourke starts airing attack ads against Ted Cruz, shifting tone","OCT. 17, 2018",2018-10-17
https://www.tribtalk.org/2018/10/18/tipping-the-scales-in-judicial-elections/,Mary Lou Serafine,Tipping the scales in judicial elections,"By Mary Lou Serafine,  Oct. 18, 2018",2018-10-18
https://www.texastribune.org/2018/10/22/ted-cruz-suggests-sending-national-guard-border-stop-migrant-caravan/,JULIÁN AGUILAR,Ted Cruz: National Guard may be needed to stop migrant caravan at the border,"OCT. 22, 2018",2018-10-22
https://www.texastribune.org/2018/10/22/texas-donald-trump-ted-cruz-texas-senate-fact-check/,ALEX SAMUELS,We fact checked Donald Trump's rally in Texas,"OCT. 22, 2018",2018-10-22
